tconst,averagerating,numvotes
tt0099389,6.4,358
tt0099390,4.6,328
tt0099391,7.2,559
tt0099392,6.2,327
tt0099394,5.5,79
tt0099395,5.1,2115
tt0099396,5.5,241
tt0099397,5.6,1093
tt0099398,7.1,218
tt0099399,4.9,7864
tt0099400,3.7,394
tt0099401,4.9,3061
tt0099402,5.2,104
tt0099403,4.7,37
tt0099405,5.9,410
tt0099406,6.2,499
tt0099407,4.6,123
tt0099409,5.4,7994
tt0099410,6.3,49
tt0099411,6.0,43
tt0099412,5.4,104
tt0099413,5.7,53
tt0099414,4.3,74
tt0099415,5.0,853
tt0099416,5.0,66
tt0099417,7.4,14
tt0099418,6.0,8
tt0099421,5.1,9
tt0099422,6.2,64193
tt0099423,7.1,372569
tt0099424,5.7,20
tt0099425,6.0,24
tt0099426,7.5,11291
tt0099427,5.4,12
tt0099428,4.5,37
tt0099429,6.6,5539
tt0099430,5.6,550
tt0099431,5.9,35
tt0099432,5.9,677
tt0099433,4.4,11
tt0099434,5.1,116
tt0099435,7.3,96
tt0099436,7.0,1042
tt0099437,7.8,161
tt0099438,3.8,29
tt0099439,6.8,44
tt0099440,5.0,144
tt0099441,5.0,1874
tt0099442,5.6,63
tt0099443,4.9,26
tt0099444,5.0,9
tt0099445,4.9,510
tt0099446,6.8,771
tt0099447,5.1,223
tt0099449,5.4,112
tt0099450,5.7,3149
tt0099451,7.1,123
tt0099452,4.1,34
tt0099453,5.6,189
tt0099454,5.8,14
tt0099455,5.8,40
tt0099456,6.9,42
tt0099457,6.0,24
tt0099458,5.3,120
tt0099459,3.8,231
tt0099460,5.6,2087
tt0099461,3.2,173
tt0099462,5.1,917
tt0099463,5.5,303
tt0099464,7.2,561
tt0099466,7.1,52
tt0099467,7.3,105
tt0099471,6.7,18
tt0099472,6.8,28007
tt0099474,4.0,509
tt0099475,6.2,7
tt0099476,6.8,70
tt0099477,4.0,11
tt0099478,4.7,19
tt0099479,6.1,1446
tt0099480,6.2,311
tt0099481,6.7,8
tt0099482,5.9,47
tt0099484,5.5,4103
tt0099485,5.1,10
tt0099486,8.6,17
tt0099487,7.9,507011
tt0099490,5.8,11
tt0099492,7.7,2600
tt0099493,6.1,1011
tt0099494,7.2,14
tt0099495,2.2,20
tt0099496,4.1,1674
tt0099497,7.4,7
tt0099498,4.8,225
tt0099499,6.2,75
tt0099501,6.0,205
tt0099502,4.3,149
tt0099503,7.4,40
tt0099504,8.5,28
tt0099505,2.3,8
tt0099506,5.4,517
tt0099507,5.5,23
tt0099508,6.2,331
tt0099511,7.1,21
tt0099512,5.4,9856
tt0099513,7.0,62
tt0099514,7.3,8
tt0099515,7.4,18
tt0099517,4.8,112
tt0099518,5.4,14
tt0099519,6.2,23
tt0099520,5.1,1277
tt0099521,8.3,20
tt0099522,5.0,211
tt0099523,4.5,309
tt0099524,4.1,3423
tt0099525,6.1,11
tt0099526,6.3,265
tt0099527,4.7,60
tt0099528,6.5,34972
tt0099529,6.4,58
tt0099530,5.5,231
tt0099531,6.7,128
tt0099532,5.8,36
tt0099533,6.8,11
tt0099534,5.4,257
tt0099535,6.4,117
tt0099536,5.3,74
tt0099537,7.6,39
tt0099538,5.8,243
tt0099539,7.8,9
tt0099540,5.8,34
tt0099541,5.1,160
tt0099542,6.2,133
tt0099543,6.4,293
tt0099544,5.5,17
tt0099545,5.8,1561
tt0099546,4.9,1180
tt0099547,6.0,40
tt0099549,6.0,44
tt0099550,5.5,114
tt0099552,3.9,24
tt0099553,4.0,37
tt0099554,3.6,190
tt0099555,4.5,88
tt0099556,2.9,66
tt0099557,6.0,1284
tt0099558,7.2,21852
tt0099559,7.8,9
tt0099560,4.6,48
tt0099561,7.1,17
tt0099562,3.1,254
tt0099563,4.6,23
tt0099564,3.9,1065
tt0099565,7.1,86
tt0099566,7.3,6495
tt0099567,5.3,479
tt0099568,5.1,135
tt0099569,7.7,53
tt0099572,4.1,292
tt0099574,6.1,428
tt0099575,4.7,6939
tt0099576,4.0,73
tt0099577,2.6,488
tt0099578,5.7,4566
tt0099579,5.1,57
tt0099580,6.6,1480
tt0099581,6.2,5647
tt0099582,6.5,90615
tt0099583,5.3,24
tt0099584,6.4,15
tt0099587,5.8,7464
tt0099588,7.2,12
tt0099590,7.9,49
tt0099592,6.9,42
tt0099593,6.1,119
tt0099594,5.3,249
tt0099595,3.9,1833
tt0099596,7.1,95
tt0099597,6.0,33
tt0099598,5.5,27
tt0099599,6.1,76
tt0099600,7.8,65
tt0099601,5.6,442
tt0099602,5.5,59
tt0099603,3.3,105
tt0099604,5.5,29
tt0099606,5.6,1793
tt0099607,6.6,340
tt0099609,4.6,91
tt0099610,5.3,429
tt0099611,6.2,12234
tt0099612,5.4,3982
tt0099613,2.6,214
tt0099614,5.2,283
tt0099615,6.5,21438
tt0099616,5.9,85
tt0099617,5.6,49
tt0099620,7.6,224
tt0099621,5.5,70
tt0099622,3.2,159
tt0099623,4.9,1532
tt0099624,3.3,1118
tt0099625,3.4,668
tt0099627,7.2,20
tt0099629,6.5,1020
tt0099631,6.3,33
tt0099632,3.4,190
tt0099633,4.7,12
tt0099634,6.4,1071
tt0099635,6.7,141
tt0099636,4.8,2494
tt0099637,5.5,3616
tt0099638,5.6,46
tt0099639,8.2,83
tt0099640,3.9,14
tt0099641,5.8,13
tt0099642,4.8,176
tt0099643,6.9,42
tt0099648,4.2,466
tt0099649,6.8,240
tt0099651,5.9,433
tt0099652,7.7,4806
tt0099653,7.1,227580
tt0099654,4.4,8295
tt0099655,5.9,761
tt0099656,2.1,2866
tt0099657,3.3,378
tt0099658,4.8,27
tt0099659,6.3,109
tt0099660,6.1,73
tt0099661,5.6,31
tt0099662,6.5,241
tt0099663,4.8,154
tt0099664,5.0,963
tt0099665,3.9,20
tt0099668,5.7,714
tt0099669,7.6,6820
tt0099670,7.5,434
tt0099671,6.7,55
tt0099672,5.3,47
tt0099673,6.5,1027
tt0099674,7.6,411333
tt0099675,3.4,815
tt0099677,6.3,139
tt0099678,6.2,109
tt0099679,8.3,34
tt0099680,5.5,133
tt0099681,5.7,35
tt0099682,7.5,151
tt0099684,5.8,192
tt0099685,8.7,1206229
tt0099686,3.9,132
tt0099688,3.2,12
tt0099691,4.4,2202
tt0099692,5.7,120
tt0099693,8.1,13
tt0099695,6.4,65
tt0099696,7.2,617
tt0099697,4.9,12088
tt0099698,8.1,101
tt0099699,6.3,25334
tt0099700,6.4,108915
tt0099701,4.7,2538
tt0099702,4.6,13
tt0099703,6.9,29413
tt0099704,5.4,1077
tt0099706,7.3,58
tt0099708,5.0,6
tt0099709,5.9,45
tt0099710,5.4,6049
tt0099711,5.2,104
tt0099712,5.9,18
tt0099713,5.4,41
tt0099715,3.7,463
tt0099716,5.8,8
tt0099717,6.4,47
tt0099718,5.3,77
tt0099719,6.9,650
tt0099720,4.4,1409
tt0099721,7.1,442
tt0099722,5.4,18
tt0099724,5.5,483
tt0099725,5.8,131
tt0099726,6.7,23148
tt0099727,7.4,234
tt0099728,7.6,101
tt0099729,7.9,7036
tt0099730,6.8,43
tt0099731,6.0,10260
tt0099732,5.6,258
tt0099733,5.5,2524
tt0099734,7.5,152
tt0099736,5.7,42
tt0099737,4.7,74
