tconst,parenttconst,seasonnumber,episodenumber
tt8347862,tt0081857,37,204
tt8347864,tt0081857,37,210
tt8347868,tt0081857,37,216
tt8347870,tt0081857,37,222
tt8347886,tt0081857,37,199
tt8347894,tt0081857,37,200
tt8347896,tt0081857,37,201
tt8347898,tt0081857,37,202
tt8347902,tt0081857,37,203
tt8347904,tt0081857,37,206
tt8347906,tt0081857,37,205
tt8350470,tt0083448,\N,\N
tt8351438,tt0088512,\N,\N
tt8351442,tt0088512,\N,\N
tt8356174,tt0083508,1,2
tt8359522,tt0083452,36,5
tt8374198,tt0088512,\N,\N
tt8377788,tt0088512,\N,\N
tt8381692,tt0083448,\N,\N
tt8381850,tt0088512,\N,\N
tt8381852,tt0088512,\N,\N
tt8390770,tt0083451,4,12
tt8390786,tt0083451,4,8
tt8391672,tt0083451,5,19
tt8399296,tt0086825,1,5
tt8399302,tt0086825,1,6
tt8401296,tt0081857,37,209
tt8401298,tt0081857,37,256
tt8401300,tt0081857,37,211
tt8401302,tt0081857,37,212
tt8401304,tt0081857,37,213
tt8401306,tt0081857,37,214
tt8401308,tt0081857,37,215
tt8401310,tt0081857,37,257
tt8406234,tt0088512,\N,\N
tt8409276,tt0088512,\N,\N
tt8412240,tt0083448,\N,\N
tt8413290,tt0088512,\N,\N
tt8413294,tt0088512,\N,\N
tt8413326,tt0082201,1,119
tt8413330,tt0082201,1,120
tt8413486,tt0082201,1,121
tt8413492,tt0082201,1,122
