nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0813520,Aleksandr Solovyov,1952,2000,"actor,director,stunts","tt0272205,tt0103712,tt0102682,tt0101380"
nm0813527,Ivan Solovyov,1910,1982,"actor,producer","tt0045473,tt0045973,tt0314827,tt0102188"
nm0813583,Andrew Solt,1947,\N,"producer,director,writer","tt0243925,tt0335642,tt0046593,tt0293687"
nm0813590,Vladimir Soltan,1953,1997,composer,"tt0086639,tt0264200"
nm0813691,Miguel Ángel Solá,1950,\N,actor,"tt0239955,tt0176501,tt5991974,tt0299873"
nm0813914,Carlos Somigliana,1932,1987,writer,"tt0085181,tt0086915,tt0458542,tt0415977"
nm0813934,Sebastiano Somma,1960,\N,"actor,writer","tt0085751,tt0093677,tt3762188,tt0483854"
nm0813992,Paul Sommer,1912,2011,"art_department,director,miscellaneous","tt0101169,tt0094531,tt0081933,tt0090503"
nm0814018,Nirit Sommerfeld,1961,\N,actress,"tt0087668,tt0105931,tt10286140,tt0111943"
nm0814113,Somnath Rangroo,\N,\N,"assistant_director,miscellaneous,writer","tt0084744,tt0069871,tt0061842,tt0053985"
nm0814223,Kitty Sondern,\N,\N,actress,"tt0077573,tt0081688"
nm0814245,Sonya Sones,\N,\N,"editorial_department,editor,miscellaneous","tt0077742,tt0091860,tt0081696,tt0081061"
nm0814281,Kil-han Song,\N,\N,writer,"tt0081607,tt0406090,tt0307991,tt0089205"
nm0814358,Paul Sonkkila,\N,2016,actor,"tt0433362,tt0086617,tt0108885,tt0082432"
nm0814377,Lisa Sonne,\N,\N,"producer,writer,director","tt0830548,tt0111868,tt0088247,tt0091973"
nm0814417,Sherry Sonnet,\N,\N,writer,"tt0331027,tt0080427,tt0078622"
nm0814497,Gerry Sont,1961,\N,actor,"tt0084616,tt0094481,tt0348150,tt0083868"
nm0814516,Michael Sonye,1954,\N,"actor,writer,composer","tt0092769,tt0096142,tt0092767,tt0087945"
nm0814570,Shinji Sômai,1948,2001,"director,assistant_director,producer","tt0191766,tt0107736,tt0088222,tt0081641"
nm0814593,Soorya,\N,\N,actress,"tt27413865,tt0275430,tt0271571,tt0314349"
nm0814631,Harn Soper,\N,\N,"composer,music_department",tt0087689
nm0814637,Mark Soper,1959,\N,actor,"tt0117333,tt0283139,tt0244244,tt0084917"
nm0814679,Michael Sopkiw,1954,\N,actor,"tt0088818,tt0089562,tt0088100,tt0085125"
nm0814715,Dejan Sorak,1954,\N,"director,writer","tt0471160,tt0188779,tt0100893,tt0124035"
nm0814903,Scott Sorenson,\N,\N,"camera_department,director,cinematographer","tt0075368,tt0466675,tt0072562,tt2170618"
nm0814997,Emilio Soriano,\N,\N,"actor,director,writer","tt0078822,tt0082261,tt0256675,tt0078192"
nm0815002,Hugo Soriano,\N,\N,actor,"tt0084029,tt0077386,tt0074927"
nm0815023,Osvaldo Soriano,1943,1997,writer,"tt0086922,tt0111236,tt0086017,tt0083776"
nm0815041,Jim Soriero,\N,\N,"miscellaneous,actor,soundtrack","tt0092493,tt0087134,tt0489594,tt0985040"
nm0815046,Ebon Sorin,\N,\N,actress,"tt0315067,tt3873630,tt0123347,tt0092458"
nm0815075,Lou Sorkin,\N,\N,"producer,miscellaneous","tt0070730,tt0082273,tt7932490"
nm0815203,Martin Sorrentino,\N,\N,actor,"tt0084719,tt0195070,tt0086476,tt0098236"
nm0815215,Jaume Sorribas,1948,2008,actor,"tt0092619,tt0364838,tt0081139,tt0423650"
nm0815244,María Sorté,1951,\N,"actress,writer,producer","tt5373374,tt0338250,tt0214358,tt0082048"
nm0815326,Lyudmila Soshnikova,\N,\N,editor,"tt0307081,tt3256204,tt0158083,tt0086132"
nm0815341,Edward Sosna,1938,\N,actor,"tt0094381,tt0077134,tt0063398,tt0498138"
nm0815366,Janusz Sosnowski,1947,\N,"production_designer,set_decorator,art_department","tt0088083,tt0282108,tt1332134,tt0095452"
nm0815537,Hugo Soto,1953,1994,actor,"tt0082668,tt0091214,tt0100990,tt0092553"
nm0815609,Ángel Domenech,\N,\N,actor,"tt0408371,tt0083846"
nm0815615,Martin Sotola,1976,\N,actor,"tt0247886,tt0401983,tt0085748,tt0195274"
nm0815634,Jim Sotos,\N,\N,"director,producer","tt0089304,tt0083146,tt0083186,tt0087282"
nm0815636,Takashi Toyama,1930,\N,actor,"tt1144411,tt0279901,tt0078659,tt0341603"
nm0815651,Maria Carlos Sotto Mayor,1961,\N,"soundtrack,actress,music_department","tt0085900,tt3482498,tt0092129,tt0091982"
nm0815713,Alain Souchon,1944,\N,"soundtrack,actor,composer","tt6095616,tt0119828,tt0080951,tt0086655"
