tconst,titletype,primarytitle,originaltitle,isadult,startyear,endyear,runtimeminutes,genres
tt0098935,tvMiniSeries,Tudjinac,Tudjinac,0,1991,1991,\N,Drama
tt0098936,tvSeries,Twin Peaks,Twin Peaks,0,1990,1991,47,"Crime,Drama,Mystery"
tt0098937,tvSeries,Uncle Buck,Uncle Buck,0,1990,1991,30,Comedy
tt0098938,tvSeries,Up the Garden Path,Up the Garden Path,0,1990,1993,25,Comedy
tt0098939,tvSeries,The Upper Hand,The Upper Hand,0,1990,1996,25,Comedy
tt0098941,tvSeries,Vic Reeves Big Night Out,Vic Reeves Big Night Out,0,1990,1991,25,Comedy
tt0098943,tvSeries,Vrienden voor het leven,Vrienden voor het leven,0,1991,1995,30,Comedy
tt0098944,tvSeries,WIOU,WIOU,0,1990,1991,60,Drama
tt0098945,tvSeries,Waiting for God,Waiting for God,0,1990,1994,30,Comedy
tt0098946,tvSeries,Fortress Besieged,Wei cheng,0,1990,\N,49,\N
tt0098947,tvSeries,What a Dummy,What a Dummy,0,1990,1991,30,"Comedy,Fantasy"
tt0098948,tvSeries,Wings,Wings,0,1990,1997,30,"Comedy,Drama"
tt0098949,tvSeries,Wish You Were Here,Wish You Were Here,0,1990,\N,\N,"Adventure,Comedy"
tt0098950,tvSeries,The Wizard of Oz,The Wizard of Oz,0,1990,1991,30,"Action,Adventure,Animation"
tt0098951,tvSeries,Working Girl,Working Girl,0,1990,1990,30,Comedy
tt0098952,tvSeries,Working It Out,Working It Out,0,1990,\N,30,Comedy
tt0098954,tvSeries,Yellowthread Street,Yellowthread Street,0,1990,1990,52,"Action,Crime,Mystery"
tt0098955,tvSeries,You Take the Kids,You Take the Kids,0,1990,1991,30,Comedy
tt0098956,tvMiniSeries,Your Cheatin' Heart,Your Cheatin' Heart,0,1990,\N,50,"Comedy,Drama"
tt0098957,tvSeries,Zorro,Zorro,0,1990,1993,30,"Adventure,Drama,Family"
tt0098958,movie,His Nickname Is Beast,...Po prozvishchu 'Zver',0,1990,\N,88,"Action,Crime"
tt0098959,movie,...Almost,Wendy Cracked a Walnut,0,1990,\N,84,"Drama,Fantasy,Romance"
tt0098961,movie,Les 1001 nuits,Les 1001 nuits,0,1990,\N,98,"Adventure,Comedy,Fantasy"
tt0098962,short,12:01 PM,12:01 PM,0,1991,\N,25,"Sci-Fi,Short,Thriller"
