tconst,ordering,nconst,category,job,characters
tt0051328,3,nm0330050,actor,\N,"[""Frank Nitti"",""Bolton"",""Francois""]"
tt0051328,4,nm0943978,actor,\N,"[""Joe Fuselli"",""Self""]"
tt0051328,5,nm0353405,actress,\N,"[""Hilda Darrow"",""Mildred Corn"",""Nora Anderson""]"
tt0051328,6,nm0605494,actor,\N,"[""Barber"",""Police Inspector"",""Senor Fuentes""]"
tt0051328,7,nm0732397,actor,\N,"[""Judge"",""Mr. Gibbons""]"
tt0051328,8,nm0922967,actor,\N,"[""Frankie, trumpet player"",""Root"",""Rosenthal""]"
tt0051328,9,nm0842425,actor,\N,"[""Snipes"",""Van Kemp""]"
tt0051329,10,nm0086627,actor,\N,"[""Jailer""]"
tt0051329,1,nm0537146,actor,\N,"[""Yancy Derringer""]"
tt0051329,2,nm0104830,actor,\N,"[""Pahoo-Ka-Ta-Wah"",""Pahoo"",""Pahoo-Ke-Ta-Wah""]"
tt0051329,3,nm0353419,actor,\N,"[""John Colton""]"
tt0051329,4,nm0074047,actress,\N,"[""Madame Francine""]"
tt0051329,5,nm0757940,writer,creator,\N
tt0051329,6,nm0519760,writer,creator,\N
tt0051329,7,nm2063523,actress,\N,"[""Pearl Girl"",""Poker Dealer""]"
tt0051329,8,nm0566389,actor,\N,"[""Capt. Amos Fry"",""Captain Amos Fry"",""Captain Fry""]"
tt0051329,9,nm0222878,actor,\N,"[""Jody Barker""]"
tt0051330,10,nm0189087,actress,\N,"[""Faye Bannister Koda""]"
tt0051330,1,nm0697733,actor,\N,"[""Dr. Jerry Malone""]"
tt0051330,2,nm0174995,actor,\N,"[""Dr. David Malone""]"
tt0051330,3,nm0196419,actress,\N,"[""Tracey Malone"",""Tracy Malone""]"
tt0051330,4,nm5534113,actor,\N,"[""Dr. Stefan Koda""]"
tt0051330,5,nm0680460,writer,creator: radio version,\N
tt0051330,6,nm0927043,actress,\N,"[""Jill Malone""]"
tt0051330,7,nm0829299,actor,\N,"[""Dr. Paul Brown""]"
tt0051330,8,nm0098382,actress,\N,"[""Fran Merrill""]"
tt0051330,9,nm0245547,actress,\N,"[""Tracey Malone""]"
tt0051333,10,nm0105899,producer,producer,\N
tt0051333,1,nm0006386,actress,\N,"[""Caterina Duval""]"
tt0051333,2,nm0726153,actor,\N,"[""Robert Mertens""]"
tt0051333,3,nm0826862,actress,\N,"[""Trudchen Putzke""]"
tt0051333,4,nm0902702,actor,\N,"[""Alfons Spadolini""]"
tt0051333,5,nm0643945,director,\N,\N
tt0051333,6,nm0281291,writer,writer,\N
tt0051333,7,nm0473210,writer,screenplay,\N
tt0051333,8,nm0559306,writer,screenplay,\N
tt0051333,9,nm0826452,writer,writer,\N
tt0051334,10,nm0006057,composer,\N,\N
tt0051334,1,nm0279072,actor,\N,"[""Dr. Stefan Donat""]"
tt0051334,2,nm0462367,actress,\N,"[""Mingo Fabian""]"
tt0051334,3,nm0028293,actress,\N,"[""Agnes Donat""]"
tt0051334,4,nm0231431,actor,\N,"[""Dr. Fein, Strafverteidiger""]"
tt0051334,5,nm0936204,director,\N,\N
tt0051334,6,nm0014059,writer,writer,\N
tt0051334,7,nm0399574,writer,"novella ""Der Fall Deruga""",\N
tt0051334,8,nm0813584,writer,writer,\N
tt0051334,9,nm0943481,writer,writer,\N
tt0051335,10,nm1575951,editor,\N,\N
tt0051335,1,nm0244870,actor,\N,"[""Ajoye Kumar""]"
tt0051335,2,nm0716851,actress,\N,"[""Bani Chaudhary""]"
tt0051335,3,nm0789374,actress,\N,"[""Neena""]"
tt0051335,4,nm0716839,actor,\N,"[""Rai Mohan""]"
tt0051335,5,nm0149850,director,\N,\N
tt0051335,6,nm1458520,writer,dialogue,\N
tt0051335,7,nm0802688,producer,producer,\N
tt0051335,8,nm0006211,composer,\N,\N
tt0051335,9,nm0615444,cinematographer,director of photography,\N
tt0051336,10,nm1725768,self,\N,"[""Self""]"
tt0051336,1,nm0232396,self,\N,"[""Self""]"
tt0051336,2,nm0884223,self,\N,"[""Self""]"
tt0051336,3,nm0197715,self,\N,"[""Self""]"
tt0051336,4,nm0164379,self,\N,"[""Self""]"
tt0051336,5,nm0789477,director,\N,\N
tt0051336,6,nm0399726,writer,screenplay,\N
tt0051336,7,nm0808458,producer,producer,\N
tt0051336,8,nm0737025,cinematographer,director of photography,\N
tt0051336,9,nm0413687,editor,\N,\N
tt0051337,10,nm0178447,cinematographer,director of photography,\N
tt0051337,1,nm0558663,actor,\N,"[""Sinbad""]"
tt0051337,2,nm0335497,actress,\N,"[""Princess Parisa""]"
tt0051337,3,nm0264134,actor,\N,"[""The Genie"",""Baronni""]"
tt0051337,4,nm0857147,actor,\N,"[""Sokurah the Magician""]"
tt0051337,5,nm0432846,director,\N,\N
tt0051337,6,nm0463894,writer,written by,\N
tt0051337,7,nm0366063,writer,story,\N
tt0051337,8,nm0773677,producer,producer,\N
tt0051337,9,nm0002136,composer,\N,\N
tt0051338,10,nm0699604,actor,\N,"[""Doctor""]"
tt0051338,1,nm0959845,actor,\N,"[""91:an Mandel Karlsson""]"
tt0051338,2,nm0356317,actor,\N,"[""87:an Axelsson""]"
tt0051338,3,nm0845483,actress,\N,"[""Elvira, nurse""]"
tt0051338,4,nm0082600,actor,\N,"[""Cpl. Revar""]"
tt0051338,5,nm0506817,director,\N,\N
tt0051338,6,nm0061687,writer,\N,\N
tt0051338,7,nm0677467,writer,cartoon,\N
tt0051338,8,nm0714946,composer,\N,\N
tt0051338,9,nm0512481,cinematographer,\N,\N
tt0051339,1,nm0789313,director,\N,\N
tt0051339,2,nm0369519,writer,writer,\N
tt0051340,10,nm0740384,actress,\N,\N
tt0051340,1,nm0004291,actress,\N,"[""Nirmala""]"
tt0051340,2,nm0474850,actor,\N,"[""Barrister Rajindra R. 'Rajen' Singh""]"
tt0051340,3,nm0695199,actor,\N,"[""Pandit Kedarnath"",""Sharif Ahmed""]"
tt0051340,4,nm0755087,actress,\N,"[""Dr. Renuka Roy""]"
tt0051340,5,nm0435753,director,\N,\N
tt0051340,6,nm9096662,producer,producer,\N
tt0051340,7,nm1568040,producer,producer,\N
tt0051340,8,nm0463317,composer,\N,\N
tt0051340,9,nm0442394,actor,\N,"[""Barrsiter Rattanlal Roy""]"
tt0051342,10,nm0580904,producer,producer,\N
tt0051342,1,nm0179783,actress,\N,"[""Lerna""]"
tt0051342,2,nm0211922,actor,\N,"[""Demetrio""]"
tt0051342,3,nm0876567,actress,\N,"[""Diala""]"
tt0051342,4,nm0307995,actor,\N,"[""Antigono""]"
tt0051342,5,nm0094801,director,\N,\N
tt0051342,6,nm0001466,writer,screenplay,\N
tt0051342,7,nm0541333,writer,story,\N
tt0051342,8,nm0604350,writer,screenplay,\N
tt0051342,9,nm0224125,writer,screenplay,\N
tt0051343,10,nm0430813,editor,\N,\N
tt0051343,1,nm0052332,actor,\N,"[""Bimal""]"
tt0051343,2,nm0060610,actor,\N,"[""Uncle""]"
tt0051343,3,nm0080362,actor,\N,\N
tt0051343,4,nm0149831,actor,\N,\N
tt0051343,5,nm0315547,director,\N,\N
tt0051343,6,nm0315926,writer,novel,\N
tt0051343,7,nm0481572,producer,producer,\N
